Country,PR,CL,Freedom
Afghanistan,6,6,Not
Albania,3,3,Partly
Algeria,6,5,Not
Andorra,1,1,Free
Angola,6,6,Not
Antiguaand Barbuda,2,2,Free
Argentina,2,2,Free
Armenia,5,4,Partly
Australia,1,1,Free
Austria,1,1,Free
Azerbaijan,7,6,Not
Bahamas,1,1,Free
Bahrain,7,6,Not
Bangladesh,4,4,Partly
Barbados,1,1,Free
Belarus,7,6,Not
Belgium,1,1,Free
Belize,1,2,Free
Benin,2,2,Free
Bhutan,3,4,Partly
Bolivia,3,3,Partly
Bosniaand Herzegovina,4,4,Partly
Botswana,3,2,Free
Brazil,2,2,Free
Brunei,6,5,Not
Bulgaria,2,2,Free
Burkina Faso,4,3,Partly
Burundi,7,6,Not
Cambodia,6,5,Not
Cameroon,6,6,Not
Canada,1,1,Free
CapeVerde,1,1,Free
Central African Republic,7,7,Not
Chad,7,6,Not
Chile,1,1,Free
China,7,6,Not
Colombia,3,3,Partly
Comoros,3,4,Partly
Congo,Democratic Republicof,7,6,Not
Congo,Republicof,7,5,Not
Costa Rica,1,1,Free
Croatia,1,2,Free
Cuba,7,6,Not
Cyprus,1,1,Free
Czech Republic,1,1,Free
Denmark,1,1,Free
Djibouti,6,5,Not
Dominica,1,1,Free
Dominican Republic,3,3,Partly
EastTimor,3,3,Partly
Ecuador,3,4,Partly
Egypt,6,5,Not
ElSalvador,2,3,Free
Equatorial Guinea,7,7,Not
Eritrea,7,7,Not
Estonia,1,1,Free
Ethiopia,7,6,Not
Eswatini,7,5,Not
Fiji,3,4,Partly
Finland,1,1,Free
France,1,2,Free
Gabon,6,5,Not
Gambia,6,6,Not
Georgia,3,3,Partly
Germany,1,1,Free
Ghana,1,2,Free
Greece,2,2,Free
Grenada,1,2,Free
Guatemala,4,4,Partly
Guinea,5,5,Partly
Guinea-Bissau,5,5,Partly
Guyana,2,3,Free
Haiti,5,5,Partly
Honduras,4,4,Partly
Hungary,3,2,Free
Iceland,1,1,Free
India,2,3,Free
Indonesia,2,4,Partly
Iran,6,6,Not
Iraq,5,6,Not
Ireland,1,1,Free
Israel,1,2,Free
Italy,1,1,Free
Ivory Coast,4,4,Partly
Jamaica,2,3,Free
Japan,1,1,Free
Jordan,5,5,Partly
Kazakhstan,7,5,Not
Kenya,4,4,Partly
Kiribati,1,1,Free
Kosovo,3,4,Partly
Kuwait,5,5,Partly
Kyrgyzstan,5,5,Partly
Laos,7,6,Not
Latvia,1,2,Free
Lebanon,5,4,Partly
Lesotho,3,3,Partly
Liberia,3,4,Partly
Libya,7,6,Not
Liechtenstein,2,1,Free
Lithuania,1,1,Free
Luxembourg,1,1,Free
Madagascar,3,4,Partly
Malawi,3,3,Partly
Malaysia,4,4,Partly
Maldives,5,5,Partly
Mali,5,4,Partly
Malta,1,1,Free
Marshall Islands,1,1,Free
Mauritania,6,5,Not
Mauritius,1,2,Free
Mexico,3,3,Partly
Micronesia,1,1,Free
Moldova,3,3,Partly
Monaco,3,1,Free
Mongolia,1,2,Free
Montenegro,3,3,Partly
Morocco,5,4,Partly
Mozambique,4,4,Partly
Myanmar,5,5,Partly
Namibia,2,2,Free
Nauru,2,2,Free
Nepal,3,4,Partly
Netherlands,1,1,Free
NewZealand,1,1,Free
Nicaragua,5,4,Partly
Niger,4,4,Partly
Nigeria,3,5,Partly
North Korea,7,7,Not
North Macedonia,4,3,Partly
Norway,1,1,Free
Oman,6,5,Not
Pakistan,4,5,Partly
Palau,1,1,Free
Panama,2,2,Free
Papua New Guinea,3,3,Partly
Paraguay,3,3,Partly
Peru,2,3,Free
Philippines,3,3,Partly
Poland,1,2,Free
Portugal,1,1,Free
Qatar,6,5,Not
Romania,2,2,Free
Russia,7,6,Not
Rwanda,6,6,Not
Saint Kittsand Nevis,1,1,Free
Saint Lucia,1,1,Free
Saint Vincentand the Grenadines,1,1,Free
Samoa,2,2,Free
San Marino,1,1,Free
SoTomand Prncipe,2,2,Free
Saudi Arabia,7,7,Not
Senegal,2,2,Free
Serbia,3,2,Free
Seychelles,3,3,Partly
Sierra Leone,3,3,Partly
Singapore,4,4,Partly
Slovakia,1,1,Free
Slovenia,1,1,Free
Solomon Islands,3,2,Free
Somalia,7,7,Not
South Africa,2,2,Free
South Korea,2,2,Free
South Sudan,7,7,Not
Spain,1,1,Free
Sri Lanka,3,4,Partly
Sudan,7,7,Not
Suriname,2,3,Free
Sweden,1,1,Free
Switzerland,1,1,Free
Syria,7,7,Not
Taiwan,1,1,Free
Tajikistan,7,6,Not
Tanzania,3,4,Partly
Thailand,6,5,Not
Togo,4,4,Partly
Tonga,2,2,Free
Trinidadand Tobago,2,2,Free
Tunisia,1,3,Free
Turkey,4,5,Partly
Turkmenistan,7,7,Not
Tuvalu,1,1,Free
Uganda,6,5,Not
Ukraine,3,3,Partly
United Arab Emirates,6,6,Not
United Kingdom,1,1,Free
United States,1,1,Free
Uruguay,1,1,Free
Uzbekistan,7,7,Not
Vanuatu,2,2,Free
Venezuela,6,5,Not
Vietnam,7,5,Not
Yemen,7,6,Not
Zambia,4,4,Partly
Zimbabwe,5,5,Partly
